Node_ID,Node_Type,X_Position,Y_Position,Z_Position,Distance_From_ENB_2D,Total_Packets,Total_Bytes,Duration_s,Throughput_bps,Throughput_Mbps
3,ENB,75.0,75.0,30.0,,0,0.0,0.0,0.0,0.0
4,UE,55.3682,57.7075,1.7,26.1617684320078,577,800876.0,0.288,22246555.555555556,22.246555555555556
5,UE,94.8404,4.88995,1.7,72.8633006606378,578,802264.0,0.2885,22246488.734835356,22.246488734835356
6,UE,38.9075,54.2956,1.7,41.60938278333386,577,800876.0,0.288,22246555.555555556,22.246555555555556
7,UE,75.7272,72.2779,1.7,2.817560691449251,577,800876.0,0.288,22246555.555555556,22.246555555555556
8,UE,71.4233,70.402,1.7,5.825322900063138,577,800876.0,0.288,22246555.555555556,22.246555555555556
9,UE,35.943,116.239,1.7,56.79880606139535,548,760624.0,0.28049999999999997,21693376.114081997,21.693376114081996
10,UE,76.1818,73.5387,1.7,1.8793746114066703,576,799488.0,0.2875,22246622.608695652,22.246622608695652
11,UE,45.9967,57.7928,1.7,33.72356954312518,576,799488.0,0.2875,22246622.608695652,22.246622608695652
12,UE,30.5415,81.659,1.7,44.954426959421916,577,800876.0,0.288,22246555.555555556,22.246555555555556
13,UE,87.5114,75.2039,1.7,12.513061382811157,576,799488.0,0.2875,22246622.608695652,22.246622608695652
